,Dist,DP,Energy,N,Physics,nEvents,NoReac,Air-N,Air-Y,Det-N,Det-Y,All-Y
0,15,12,200,1,bert,100000,18.45,3.16,0.47,8.71,69.2,69.68
1,15,12,200,1,bic,100000,18.52,3.08,0.48,6.21,71.7,72.19
2,15,12,200,1,inclxx,100000,18.51,3.22,0.42,6.71,71.14,71.56
3,15,30,200,1,bert,100000,1.6,3.1,0.48,2.27,92.54,93.02
4,15,30,200,1,bic,100000,1.68,3.09,0.52,1.62,93.1,93.62
5,15,30,200,1,inclxx,100000,1.68,3.23,0.41,1.78,92.9,93.31
6,15,12,600,1,bert,100000,15.75,2.85,0.77,6.65,73.97,74.75
7,15,12,600,1,bic,100000,15.52,2.73,0.85,5.65,75.24,76.09
8,15,12,600,1,inclxx,100000,15.57,2.9,0.76,5.94,74.84,75.6
9,15,30,600,1,bert,100000,1.1,2.78,0.88,1.28,93.97,94.84
10,15,30,600,1,bic,100000,1.09,2.68,0.92,1.12,94.2,95.11
11,15,30,600,1,inclxx,100000,1.13,2.79,0.82,1.26,94.0,94.81
12,15,12,1000,1,bert,100000,12.73,2.73,1.17,5.73,77.64,78.81
13,15,12,1000,1,bic,100000,12.81,2.45,1.4,5.24,78.1,79.5
14,15,12,1000,1,inclxx,100000,12.85,2.69,1.19,5.78,77.48,78.68
15,15,30,1000,1,bert,100000,0.65,2.57,1.24,0.86,94.67,95.91
16,15,30,1000,1,bic,100000,0.7,2.25,1.55,0.87,94.64,96.19
17,15,30,1000,1,inclxx,100000,0.75,2.53,1.31,0.89,94.52,95.83
18,35,12,200,1,bert,100000,19.01,5.71,0.37,9.25,65.65,66.02
19,35,12,200,1,bic,100000,19.02,5.75,0.36,6.34,68.53,68.88
20,35,12,200,1,inclxx,100000,19.09,5.84,0.3,6.92,67.85,68.15
21,35,30,200,1,bert,100000,3.07,5.75,0.36,3.29,87.52,87.89
22,35,30,200,1,bic,100000,2.97,5.75,0.39,2.05,88.84,89.23
23,35,30,200,1,inclxx,100000,2.94,5.79,0.29,2.33,88.64,88.94
24,35,12,600,1,bert,100000,15.61,5.9,0.6,6.75,71.14,71.74
25,35,12,600,1,bic,100000,16.15,5.84,0.59,5.64,71.78,72.37
26,35,12,600,1,inclxx,100000,16.09,5.85,0.62,6.05,71.4,72.02
27,35,30,600,1,bert,100000,1.94,5.83,0.64,1.51,90.08,90.71
28,35,30,600,1,bic,100000,1.94,5.73,0.66,1.28,90.39,91.05
29,35,30,600,1,inclxx,100000,1.92,5.81,0.62,1.41,90.25,90.86
30,35,12,1000,1,bert,100000,12.98,6.02,0.84,5.79,74.37,75.21
31,35,12,1000,1,bic,100000,12.96,5.8,1.06,5.22,74.96,76.02
32,35,12,1000,1,inclxx,100000,13.13,6.08,0.88,5.9,74.01,74.88
33,35,30,1000,1,bert,100000,1.34,6.14,0.9,1.06,90.55,91.45
34,35,30,1000,1,bic,100000,1.37,5.72,1.15,0.92,90.84,91.99
35,35,30,1000,1,inclxx,100000,1.3,6.08,0.95,1.03,90.64,91.59
