,Reaction Products,Counts,Frequency [%]
0,n+p+B11,9781,9.780999999999999
1,n+n+n+p+p+He4+He4,9118,9.118
2,n+n+C11,7843,7.843
3,,4790,4.79
4,n+n+p+B10,4111,4.111
5,n+n+p+D2+He4+He4,3995,3.995
6,n+He4+He4+He4,3341,3.341
7,pi-+n+p+C11,2620,2.62
8,pi-+n+n+p+p+p+He4+He4,2135,2.1350000000000002
9,n+C12,1714,1.714
10,n+n+n+n+p+p+p+D2+He4,1418,1.418
11,n+p+T3+He4+He4,1405,1.405
12,n+p,1340,1.34
13,n+p+B11+C12,1289,1.2890000000000001
14,n+p+p+Be10,1234,1.234
15,n+n+n+p+p+He4+He4+C12,1233,1.233
16,pi-+n+p+p+D2+He4+He4,1017,1.0170000000000001
17,n+n+C11+C12,1003,1.0030000000000001
18,n+n+n+n+n+p+p+p+p+He4,982,0.9820000000000001
19,n+n+n+p+p+p+T3+He4,957,0.9570000000000001
20,pi++n+n+n+n+p+He4+He4,910,0.91
21,pi-+n+p+p+B10,884,0.8840000000000001
22,n+p+p+B11,792,0.792
23,pi++n+n+B11,772,0.772
24,n+n+p+p+Be9,764,0.764
25,n+n+He3+He4+He4,736,0.736
26,n+n+n+p+p+p+He4+He4,729,0.729
27,n+n+n+n+p+p+He3+He4,694,0.694
28,pi++n+n,684,0.6839999999999999
29,n+n+p+C11,659,0.659
30,C12,590,0.59
31,n+p+He4+He4+He4,584,0.584
32,n+p+C12,542,0.542
33,n+n+p+D2+He4+He4+C12,510,0.51
34,n+n+p+B10+C12,497,0.49699999999999994
35,n+n+n+p+p+D2+D2+He4,469,0.469
36,n+He4+He4+He4+C12,451,0.451
37,p,443,0.443
38,pi-+p+p+B11,411,0.411
39,n+n+p+p+B10,395,0.395
40,n+n+n+C10,382,0.382
41,n+p+He4+Li7,361,0.361
42,pi++n+n+n+D2+He4+He4,334,0.334
43,n+n+n+p+B9,331,0.331
44,n+n+p+p+D2+He4+He4,324,0.32399999999999995
45,pi-+n+p+He3+He4+He4,317,0.317
46,n+n+n+n+p+p+Be7,297,0.297
47,n+n+He4+Be7,297,0.297
48,pi-+n+p+C11+C12,297,0.297
49,pi-+n+n+p+p+p+He4+He4+C12,291,0.291
50,n+p+Mg26,290,0.29
51,pi++n+n+n+B10,284,0.28400000000000003
52,n+n+p+p+D2+T3+He4,273,0.27299999999999996
53,n+n+n+p+Mg24,272,0.272
54,p+C12,266,0.266
55,pi-+p+He4+He4+He4,253,0.253
56,p+B12,250,0.25
57,n+n+n+p+p+p+Li7,239,0.23900000000000002
58,pi-+p+p,226,0.22599999999999998
59,n+C12+C12,225,0.22499999999999998
60,n+n+Al26,222,0.22200000000000003
61,n+p+p+B11+C12,213,0.213
62,pi++n+n+T3+He4+He4,206,0.20600000000000002
63,n+n+n+p+D2+He3+He4,204,0.20400000000000001
64,n+n+p+Mg25,193,0.193
65,pi++n+n+p+Be10,186,0.186
66,n+n+n+n+p+p+p+D2+He4+C12,185,0.185
67,n+n+p+C11+C12,185,0.185
68,C12+C12,185,0.185
69,n+p+T3+He4+He4+C12,173,0.173
70,pi-+n+n+n+p+p+p+p+D2+He4,170,0.16999999999999998
71,n+p+He4+He4+He4+C12,169,0.169
72,pi-+n+n+p+C10,168,0.168
73,n+n+p+He4+Li6,166,0.166
74,pi-+n+n+n+p+p+p+He3+He4,161,0.161
75,n+n+n+p+p+p+He4+He4+C12,160,0.16
76,p+p,160,0.16
77,n+p+p+Be10+C12,160,0.16
78,n+n+C12,158,0.158
79,n+n+n+p+p+Na23,153,0.153
80,n+p+B11+C12+C12,153,0.153
81,n+n+n+n+p+p+p+Li6,142,0.14200000000000002
82,pi++n+n+n+n+n+p+p+D2+He4,139,0.13899999999999998
83,n+n+n+p+p+He4+He4+C12+C12,139,0.13899999999999998
84,pi-+n+n+p+p+p+p+T3+He4,138,0.13799999999999998
85,n+p+p+T3+He4+He4,131,0.131
86,pi++n+n+n+n+p+He4+He4+C12,125,0.125
87,n+n+n+n+n+n+p+p+p+p+p+D2,124,0.124
88,n+n+n+n+n+p+p+p+p+He4+C12,122,0.122
89,pi++n+n+n+n+p+p+T3+He4,122,0.122
90,n+p+p+p+Be10,119,0.11900000000000001
91,n+n+n+n+n+p+p+p+p+D2+D2,118,0.11800000000000001
92,n+p+C12+C12,118,0.11800000000000001
93,n+n+n+n+n+n+n+p+p+p+p+p+p,117,0.117
94,pi-+n+p+p+D2+He4+He4+C12,116,0.116
95,n+n+n+p+p+p+T3+He4+C12,111,0.11100000000000002
96,n+n+n+n+n+p+p+p+D2+He3,110,0.11
97,pi-+n+p+He4+Be7,110,0.11
98,n+n+p+p+Be9+C12,110,0.11
99,p+p+p,108,0.108
100,pi-+n+n+p+p+B9,108,0.108
101,pi++n+n+B11+C12,106,0.106
102,pi++n+n+n+p+Be9,106,0.106
103,n+n+He3+He4+He4+C12,105,0.105
104,n+n+C11+C12+C12,105,0.105
105,pi-+p+p+T3+He4+He4,104,0.104
106,p+C12+C12,100,0.1
107,n+n+n+n+p+p+p+p+D2+T3,98,0.098
108,pi-+n+p+p+B10+C12,96,0.096
109,n+n+p+B11,96,0.096
110,pi-+n+p+p+C11,94,0.094
111,pi-+n+p+p+p+Be9,93,0.093
112,pi++n+n+C12,92,0.092
113,n+n+n+n+p+p+p+Ne21,91,0.091
114,n+n+p+p+B10+C12,88,0.08800000000000001
115,n+n+n+p+p+p+Ne22,88,0.08800000000000001
116,n+p+p+C12,86,0.086
117,pi-+n+n+n+p+p+p+Be7,86,0.086
118,pi-+n+n+n+n+p+p+p+p+p+He4,83,0.083
119,pi-+n+n+p+p+p+D2+D2+He4,82,0.082
120,p+p+C12,82,0.082
121,n+n+n+n+p+p+He3+He4+C12,81,0.08099999999999999
