,Reaction Products,Counts,Frequency [%]
0,n+n+n+p+p+He4+He4,12620,12.620000000000001
1,n+n+p+D2+He4+He4,5770,5.7700000000000005
2,n+p+B11,5321,5.321
3,,4652,4.652
4,n+n+C11,3991,3.991
5,pi-+n+n+p+p+p+He4+He4,2702,2.702
6,n+n+n+n+p+p+p+D2+He4,2386,2.386
7,n+n+p+B10,2235,2.235
8,n+n+p+He4+Li6,2074,2.0740000000000003
9,n+He4+He4+He4,2043,2.043
10,n+p+He4+Li7,1867,1.867
11,n+n+n+p+p+He4+He4+C12,1613,1.6129999999999998
12,n+n+n+p+p+D2+D2+He4,1471,1.471
13,pi-+n+p+C11,1452,1.452
14,n+n+n+p+p+p+T3+He4,1342,1.3419999999999999
15,n+n+He4+Be7,1201,1.201
16,n+p+T3+He4+He4,1080,1.08
17,n+p,1061,1.061
18,n+n+n+p+p+p+He4+He4,1048,1.048
19,n+n+n+n+p+p+He3+He4,1007,1.0070000000000001
20,n+n+He3+He4+He4,993,0.993
21,n+n+n+n+n+p+p+p+p+He4,851,0.851
22,n+n+p+p+D2+T3+He4,827,0.827
23,pi-+n+p+p+D2+He4+He4,809,0.8089999999999999
24,n+p+p+Be10,789,0.7889999999999999
25,n+n+n+p+D2+He3+He4,750,0.75
26,n+n+p+D2+He4+He4+C12,725,0.7250000000000001
27,n+n+p+p+Be9,676,0.676
28,C12,630,0.63
29,n+p+B11+C12,618,0.618
30,pi++n+n+n+n+p+He4+He4,615,0.615
31,n+n+p+p+D2+He4+He4,562,0.562
32,n+p+p+B11,544,0.544
33,pi++n+n,520,0.52
34,n+C12,515,0.515
35,pi-+p+p,501,0.501
36,n+n+C11+C12,498,0.498
37,pi-+n+p+p+B10,480,0.48
38,n+n+n+p+p+p+Li7,474,0.47400000000000003
39,pi-+n+p+p+He4+Li6,425,0.42500000000000004
40,p,418,0.418
41,n+p+He4+He4+He4,373,0.373
42,pi-+n+p+He4+Be7,349,0.349
43,pi-+n+n+p+p+p+He4+He4+C12,334,0.334
44,n+n+p+C11,332,0.332
45,n+n+n+C10,329,0.329
46,pi++n+n+B11,311,0.311
47,pi-+p+He4+He4+He4,301,0.301
48,n+p+C12,294,0.294
49,pi-+n+n+p+C10,287,0.28700000000000003
50,n+n+n+n+p+p+p+D2+He4+C12,286,0.28600000000000003
51,n+n+p+B10+C12,283,0.28300000000000003
52,pi-+n+p+He3+He4+He4,280,0.27999999999999997
53,pi-+p+p+B11,280,0.27999999999999997
54,pi-+n+n+n+p+p+p+p+D2+He4,274,0.27399999999999997
55,n+p+Mg26,273,0.27299999999999996
56,n+n+p+p+D2+Li7,261,0.261
57,pi-+n+n+n+p+p+p+He3+He4,260,0.26
58,p+C12,259,0.259
59,n+n+p+He4+Li6+C12,258,0.258
60,n+He4+He4+He4+C12,253,0.253
61,n+n+Al26,250,0.25
62,n+n+p+Mg25,233,0.233
63,n+p+He4+Li7+C12,232,0.232
64,n+n+n+p+p+p+He4+He4+C12,232,0.232
65,pi-+n+N12,229,0.22899999999999998
66,n+n+n+n+p+p+Be7,221,0.22100000000000003
67,n+n+n+p+p+He4+He4+C12+C12,205,0.20500000000000002
68,C12+C12,204,0.20400000000000001
69,pi++n+n+p+Be10,204,0.20400000000000001
70,n+n+n+p+p+D2+D2+He4+C12,200,0.2
71,pi-+n+p+C11+C12,194,0.194
72,n+p+p+He4+Li7,187,0.187
73,n+n+p+p+B10,180,0.18
74,pi-+n+n+p+p+D2+He3+He4,177,0.17700000000000002
75,p+p,176,0.17600000000000002
76,n+n+p+D2+D2+D2+He4,173,0.173
77,n+n+n+n+p+p+p+p+D2+T3,172,0.172
78,n+n+p+p+He4+Li6,170,0.16999999999999998
79,n+n+p+p+p+Li8,170,0.16999999999999998
80,n+n+n+p+D2+Be7,165,0.165
81,n+n+n+p+p+p+T3+He4+C12,163,0.163
82,pi-+n+n+p+p+p+D2+D2+He4,157,0.157
83,n+n+p+T3+He3+He4,157,0.157
84,pi-+n+n+n+p+C9,152,0.152
85,n+n+n+n+p+p+p+p+D2+He4,147,0.147
86,n+n+He4+Be7+C12,146,0.146
87,n+n+n+p+p+D2+Li6,144,0.14400000000000002
88,n+p+T3+He4+He4+C12,142,0.14200000000000002
89,n+p+p+B11+C12,141,0.14100000000000001
90,pi++n+n+n+D2+He4+He4,134,0.134
91,pi-+n+n+n+p+p+p+Be7,134,0.134
92,n+n+n+p+Mg24,127,0.127
93,n+p+p+T3+He4+He4,125,0.125
94,n+n+p+p+D2+He4+He4+C12,123,0.123
95,n+n+n+p+p+Na23,122,0.122
96,n+n+n+n+C9,120,0.12
97,n+n+n+n+p+p+p+Li6,119,0.11900000000000001
98,pi-+n+n+p+p+p+p+T3+He4,119,0.11900000000000001
99,n+n+n+n+n+p+p+p+D2+He3,118,0.11800000000000001
100,n+n+n+p+p+D2+T3+He3,118,0.11800000000000001
101,n+n+n+n+p+p+He3+He4+C12,116,0.116
102,n+n+He3+He4+He4+C12,116,0.116
103,n+n+n+n+p+p+p+T3+He3,115,0.11499999999999999
