,Reaction Products,Counts,Frequency [%]
0,n+n+p+D2+He4+He4,7586,7.585999999999999
1,n+n+n+p+p+He4+He4,6658,6.658
2,n+p+B11,4870,4.87
3,,4739,4.739
4,n+n+C11,4201,4.201
5,n+n+n+p+p+D2+D2+He4,2663,2.6630000000000003
6,n+He4+He4+He4,2331,2.331
7,n+p+He4+Li7,2285,2.2849999999999997
8,n+n+p+He4+Li6,1947,1.947
9,n+n+p+B10,1830,1.83
10,n+n+p+p+D2+T3+He4,1749,1.7489999999999999
11,n+n+n+n+p+p+p+D2+He4,1687,1.687
12,n+p+T3+He4+He4,1654,1.654
13,n+n+He4+Be7,1507,1.5070000000000001
14,n+n+He3+He4+He4,1369,1.369
15,pi-+n+p+p+D2+He4+He4,1339,1.3390000000000002
16,pi-+n+p+C11,1336,1.336
17,n+n+p+D2+D2+D2+He4,1288,1.288
18,n+n+n+p+D2+He3+He4,1170,1.17
19,n+p,1128,1.1280000000000001
20,pi-+n+n+p+p+p+He4+He4,1001,1.001
21,n+n+p+D2+He4+He4+C12,975,0.975
22,n+D2+D2+He4+He4,945,0.9450000000000001
23,n+n+n+p+p+p+T3+He4,880,0.88
24,n+n+n+p+p+He4+He4+C12,865,0.865
25,C12,668,0.668
26,n+n+p+p+D2+He4+He4,640,0.64
27,n+p+D2+D2+T3+He4,639,0.639
28,n+n+n+n+p+p+He3+He4,626,0.626
29,n+p+B11+C12,601,0.601
30,n+n+C11+C12,562,0.562
31,pi++n+n,550,0.5499999999999999
32,pi-+p+p,530,0.53
33,n+n+n+p+p+p+He4+He4,515,0.515
34,n+p+p+B11,507,0.507
35,p,486,0.486
36,pi-+n+p+He4+Be7,417,0.41700000000000004
37,n+p+He4+He4+He4,415,0.415
38,n+n+p+p+Be9,393,0.393
39,pi-+n+p+He3+He4+He4,379,0.379
40,n+n+n+p+p+D2+D2+He4+C12,368,0.368
41,n+n+n+p+p+D2+T3+He3,364,0.364
42,n+n+p+C11,336,0.336
43,n+n+D2+D2+He3+He4,321,0.321
44,n+p+p+Be10,320,0.32
45,n+n+p+T3+He3+He4,320,0.32
46,n+n+n+p+p+p+D2+D2+T3,318,0.318
47,pi-+n+p+p+B10,317,0.317
48,n+n+n+n+n+p+p+p+p+He4,307,0.307
49,pi-+n+p+p+He4+Li6,304,0.304
50,n+p+He4+Li7+C12,295,0.295
51,pi-+n+n+p+p+p+D2+D2+He4,295,0.295
52,n+He4+He4+He4+C12,294,0.294
53,n+n+p+p+D2+Li7,290,0.29
54,pi++n+n+n+n+p+He4+He4,289,0.28900000000000003
55,pi-+n+n+p+p+D2+He3+He4,286,0.28600000000000003
56,n+n+p+D2+D2+T3+He3,274,0.27399999999999997
57,pi++n+n+B11,257,0.257
58,n+C12,255,0.255
59,pi-+p+p+B11,251,0.251
60,p+C12,249,0.249
61,pi++n+n+n+D2+He4+He4,245,0.245
62,n+n+p+p+D2+D2+D2+T3,245,0.245
63,n+p+C12,244,0.244
64,n+n+p+He4+Li6+C12,242,0.242
65,n+D2+He4+Li6,233,0.233
66,n+n+n+n+p+p+D2+D2+He3,228,0.22799999999999998
67,pi-+p+D2+D2+He4+He4,228,0.22799999999999998
68,n+n+p+p+D2+T3+He4+C12,222,0.22200000000000003
69,n+p+p+He4+Li7,221,0.22100000000000003
70,n+n+n+n+p+p+p+D2+He4+C12,216,0.216
71,n+n+n+p+p+p+Li7,216,0.216
72,n+n+p+B10+C12,208,0.208
73,n+n+He4+Be7+C12,208,0.208
74,n+p+T3+He4+He4+C12,207,0.207
75,n+n+p+Mg25,205,0.20500000000000002
76,C12+C12,199,0.199
77,pi-+n+p+p+D2+D2+D2+He4,194,0.194
78,pi-+n+p+C11+C12,193,0.193
79,n+n+n+n+p+p+p+p+D2+T3,188,0.188
80,n+n+Al26,180,0.18
81,n+n+p+p+He4+Li6,174,0.174
82,pi-+n+n+n+p+p+p+p+D2+He4,174,0.174
83,pi-+p+He4+He4+He4,173,0.173
84,pi-+n+p+p+D2+He4+He4+C12,172,0.172
85,n+n+n+p+p+p+D2+D2+He4,168,0.168
86,n+p+p+T3+He4+He4,167,0.167
87,n+n+He3+He4+He4+C12,166,0.166
88,n+p+Mg26,165,0.165
89,n+n+p+p+p+D2+T3+T3,159,0.159
90,n+n+n+p+D2+D2+D2+He3,156,0.156
91,n+p+p+T3+T3+He4,155,0.155
92,n+n+n+n+n+p+p+p+D2+He3,154,0.154
93,n+n+p+D2+D2+D2+He4+C12,154,0.154
94,n+n+p+p+D2+He4+He4+C12,152,0.152
95,n+n+p+p+B10,149,0.149
96,n+n+n+p+p+p+He4+He4+C12,144,0.14400000000000002
97,n+n+n+p+D2+He3+He4+C12,142,0.14200000000000002
98,pi-+n+p+p+p+D2+T3+He4,142,0.14200000000000002
99,pi-+n+n+p+p+p+He4+He4+C12,138,0.13799999999999998
100,p+p,135,0.135
101,n+n+n+p+D2+Be7,135,0.135
102,pi-+p+p+He4+Li7,134,0.134
103,n+p+D2+Be9,132,0.132
104,pi-+n+p+D2+D2+He3+He4,132,0.132
105,n+D2+D2+He4+He4+C12,129,0.129
106,pi-+D2+C11,122,0.122
107,n+D2+D2+D2+D2+He4,121,0.121
108,n+p+He4+He4+He4+C12,120,0.12
109,pi++n+n+He4+Li7,119,0.11900000000000001
110,n+n+n+n+n+p+p+p+p+D2+D2,118,0.11800000000000001
111,n+n+n+p+Mg24,117,0.117
112,n+n+p+He4+Be7,116,0.116
113,n+p+p+B11+C12,114,0.11399999999999999
114,n+n+p+p+D2+D2+D2+He4,113,0.11299999999999999
115,pi++n+n+n+p+D2+T3+He4,112,0.11199999999999999
116,n+n+He4+He4+He4,110,0.11
117,n+n+n+n+p+p+p+T3+He3,110,0.11
118,n+n+p+p+p+D2+T3+He4,110,0.11
119,n+p+p+D2+D2+T3+T3,110,0.11
120,pi-+p+p+T3+He4+He4,110,0.11
121,n+n+n+p+p+He4+He4+C12+C12,110,0.11
122,n+n+n+p+p+p+T3+He4+C12,109,0.109
123,n+D2+B10,108,0.108
124,p+C12+C12,108,0.108
125,n+n+p+D2+He4+He4+C12+C12,106,0.106
126,p+p+p,105,0.105
127,n+n+p+He3+He4+He4,104,0.104
128,n+n+n+p+p+D2+He3+He4,98,0.098
129,pi-+n+n+n+p+p+p+He3+He4,98,0.098
130,n+n+n+p+p+D2+Li6,97,0.097
131,n+n+p+C11+C12,92,0.092
132,pi++n+n+T3+He4+He4,92,0.092
133,D2+B11,91,0.091
134,n+p+p+He4+He4+He4,90,0.09
135,n+p+B11+C12+C12,88,0.08800000000000001
136,n+n+n+n+p+p+p+p+D2+He4,87,0.087
137,n+p+D2+D2+He4+He4,86,0.086
138,pi++n+n+C12,85,0.08499999999999999
139,pi-+D2+He4+Be7,82,0.082
140,p+p+C12,79,0.079
141,p+p+p+p,78,0.078
142,pi-+p+D2+He4+Li6,78,0.078
143,pi++n+n+n+n+p+D2+D2+He4,78,0.078
144,n+n+n+n+p+p+p+D2+D2+D2,78,0.078
145,n+n+p+p+T3+T3+He3,77,0.077
146,n+D2+T3+He3+He4,76,0.076
147,n+p+D2+D2+D2+D2+T3,76,0.076
148,n+n+n+p+p+Na23,73,0.073
149,n+n+n+n+p+D2+He3+He3,73,0.073
150,n+p+p+C12,72,0.07200000000000001
151,n+p+D2+D2+Li7,70,0.06999999999999999
152,n+n+p+B11,70,0.06999999999999999
153,n+n+n+n+p+p+He3+He4+C12,70,0.06999999999999999
154,pi-+p+p+C12,69,0.06899999999999999
155,n+n+n+C10,69,0.06899999999999999
156,n+p+p+He4+Li7+C12,69,0.06899999999999999
157,n+p+D2+D2+T3+He4+C12,68,0.068
158,n+n+n+n+p+p+Be7,67,0.067
159,p+p+p+p+C12,65,0.065
160,p+p+p+C12,65,0.065
161,n+p+p+D2+D2+T3+He4,64,0.064
162,pi-+n+p+He4+Be7+C12,63,0.063
163,n+n+C11+C12+C12,63,0.063
164,pi-+n+p+He3+He4+He4+C12,62,0.062
165,n+n+C12,61,0.061
166,n+p+C12+C12,60,0.06
167,n+n+n+He3+He3+He4,59,0.059000000000000004
168,pi-+n+n+p+p+p+p+T3+He4,58,0.058
169,n+n+n+p+T3+He3+He3,57,0.056999999999999995
170,pi-+D2+He3+He4+He4,57,0.056999999999999995
171,n+n+p+D2+D2+Li6,57,0.056999999999999995
172,n+n+n+p+p+p+p+T3+He4,56,0.055999999999999994
173,n+n+p+p+T3+Li6,55,0.055
174,pi-+p+p+D2+D2+T3+He4,54,0.054
175,n+n+n+p+p+D2+T3+He3+C12,53,0.053
176,pi-+n+N12,53,0.053
177,pi-+n+n+N11,51,0.051000000000000004
178,pi-+n+p+p+p+D2+He4+He4,51,0.051000000000000004
179,n+n+p+p+Na24,51,0.051000000000000004
180,n+n+n+p+p+p+p+T3+T3,51,0.051000000000000004
181,pi-+n+p+p+C11,50,0.05
182,n+n+n+p+p+D2+D2+He4+C12+C12,50,0.05
183,n+n+n+n+n+n+p+p+p+p+p+D2,50,0.05
184,n+p+p,49,0.049
185,n+p+D2+T3+T3+He3,49,0.049
186,pi-+p+C12,49,0.049
187,pi-+n+n+p+p+D2+Be7,49,0.049
188,n+n+D2+D2+He3+He4+C12,48,0.048
189,n+p+p+He4+He6,48,0.048
190,n+p+p+T3+He4+He4+C12,48,0.048
191,pi-+n+p+p+T3+He3+He4,47,0.047
192,n+n+p+p+p+D2+He4+He4,47,0.047
193,pi-+n+n+p+p+p+D2+D2+He4+C12,46,0.046
194,n+n+n+n+n+p+p+p+p+He4+C12,46,0.046
195,p+D2+He4+He6,45,0.045
196,n+n+p+p+Be9+C12,45,0.045
197,pi-+n+p+p+p+Be9,45,0.045
198,pi++n+n+n+n+n+p+p+D2+He4,44,0.044000000000000004
199,n+n+n+n+p+p+p+Li6,44,0.044000000000000004
200,n+n+p+p+He4+Li6+C12,44,0.044000000000000004
201,D2+He4+Li7,44,0.044000000000000004
202,C12+C12+C12,44,0.044000000000000004
203,pi-+n+p+p+He4+Li6+C12,44,0.044000000000000004
204,n+p+p+He4+He4+He4+C12,43,0.043
205,pi-+n+p+Al26,43,0.043
206,pi++n+n+n+B10,43,0.043
207,n+n+p+p+B10+C12,43,0.043
208,p+p+p+p+p,43,0.043
209,n+p+p+p+B11,42,0.042
210,n+n+n+p+D2+He4+He4,42,0.042
211,n+n+p+D2+D2+T3+He3+C12,42,0.042
212,n+p+p+D2+Li8,42,0.042
213,n+n+n+p+p+p+D2+D2+He4+C12,42,0.042
214,n+n+p+T3+He3+He4+C12,42,0.042
215,p+p+p+p+p+C12,42,0.042
216,pi-+n+n+p+p+p+p+He4+He4,42,0.042
217,pi++n+n+p+Be10,41,0.041
